condition,time_ms,mean_H
B,8362.2001953125,1.0012037754058838
B,8362.2998046875,1.0012037754058838
B,8362.400390625,1.0012037754058838
B,8362.5,1.0012037754058838
B,8362.6005859375,1.0012037754058838
B,8362.7001953125,1.0012037754058838
B,8362.7998046875,1.0012037754058838
B,8362.900390625,1.0012037754058838
B,8363.0,1.0012037754058838
B,8363.1005859375,1.0012037754058838
B,8363.2001953125,1.0012037754058838
B,8363.2998046875,1.0012037754058838
B,8363.400390625,1.0012037754058838
B,8363.5,1.0012037754058838
B,8363.6005859375,1.0012037754058838
B,8363.7001953125,1.0012037754058838
B,8363.7998046875,1.0012037754058838
B,8363.900390625,1.0012037754058838
B,8364.0,1.0012037754058838
B,8364.1005859375,1.0012037754058838
B,8364.2001953125,1.0012037754058838
B,8364.2998046875,1.0012037754058838
B,8364.400390625,1.0012037754058838
B,8364.5,1.0012037754058838
B,8364.6005859375,1.0012037754058838
B,8364.7001953125,1.0012037754058838
B,8364.7998046875,1.0012037754058838
B,8364.900390625,1.0012037754058838
B,8365.0,1.0012037754058838
B,8365.1005859375,1.0012037754058838
B,8365.2001953125,1.0012037754058838
B,8365.2998046875,1.0012037754058838
B,8365.400390625,1.0012037754058838
B,8365.5,1.0012037754058838
B,8365.6005859375,1.0012037754058838
B,8365.7001953125,1.0012037754058838
B,8365.7998046875,1.0012037754058838
B,8365.900390625,1.0012037754058838
B,8366.0,1.0012037754058838
B,8366.1005859375,1.0012037754058838
B,8366.2001953125,1.0012037754058838
B,8366.2998046875,1.0012037754058838
B,8366.400390625,1.0012037754058838
B,8366.5,1.0012037754058838
B,8366.6005859375,1.0012037754058838
B,8366.7001953125,1.0012037754058838
B,8366.7998046875,1.0012037754058838
